sample ID,DOC,TotalBiomass,fungAbundance,bactAbundance,FungRichness,FungDiversity,BactRichness,BactDiversity,BF ratio
6,High,1207.8,16020979.4232866,59678687.2777168,107,2.97477497521499,452,5.54242919434367,3.72503363876577
8,High,337.9,1482244.89778921,32493903.7333221,82,3.07946296170912,423,5.47674188223869,21.9220884361196
12,High,749.181818181818,7541044.40791459,74526873.5334311,128,3.60597593329334,450,5.55262324966876,9.88283180711846
18,High,100.545454545455,866997.104589578,7267913.96242229,98,3.7718694188364,378,5.30078421056585,8.38285840165845
19,Low,745.1,4295431.05336346,56299333.7573747,103,3.3825489274856,194,3.3896197951682,13.1067948845997
21,High,495.4,5254666.09068273,92712709.0064176,82,2.93691932622509,393,5.34495213886284,17.6438821052418
22,High,1144,25759567.3595378,142259118.639508,NA,NA,312,4.71359523894717,5.52257406554751
25,High,691,4395736.07142809,104424844.753459,146,2.97973832868794,469,5.51538744289705,23.7559405425207
26,Low,2150.77272727273,18456864.7290525,174013903.97605,134,3.75738611989102,483,5.69318822158273,9.42813996475463
28,High,695.7,21299166.8326137,234323558.108417,166,3.63049694943971,466,5.60868508651007,11.0015363488123
29,High,998,4076932.00032841,55667495.2413857,110,3.92166761657526,379,5.0582637881343,13.6542613997245
31,High,1930.7,7467141.13787096,130395972.6629,146,3.83878123537279,467,5.62136929328016,17.4626366711582
32,Low,1304.40909090909,15797759.3871308,83598209.6582182,158,4.21924706995516,482,5.60754538439638,5.29177635952089
34,Low,2297.09090909091,36389162.9280488,303369321.352359,244,4.6386289767864,482,5.670368596371,8.33680406312733
35,Low,1592.4,26648478.9998148,247012890.735873,163,4.15599035086074,489,5.62946405839346,9.26930541655266
37,Low,1183.77272727273,18160484.3793239,152641572.21067,189,3.67953217476098,544,5.77518981614341,8.40514872964818
38,High,1240.45454545455,2730438.89530872,153095624.30425,144,3.87025301756551,484,5.59921498059606,56.0699690321911
41,High,1683.9,6040441.35307437,140091063.935465,149,3.62969621412153,439,5.52324556949039,23.192190064748
42,Low,1031.36363636364,14154029.9802381,99160622.5993701,158,3.94077929302922,472,5.6162888182988,7.00582256345496
43,Low,973.136363636364,21579387.2646516,78752049.0368381,NA,NA,517,5.78595383745106,3.64941080444109
44,High,1529.2,8452934.01398888,98639731.2713669,122,4.01159966248459,NA,NA,11.6692891613878
46,High,1573.09090909091,11252942.8761762,139479127.149275,184,4.51883124348969,474,5.59473150583022,12.3949022654837
48,Low,2273.3,7799468.88522471,151458571.894344,179,4.10321061522658,496,5.80343853140153,19.4190879049811
49,Low,2357.68181818182,17878143.2411021,123725523.708926,176,4.05275139945141,535,5.83770499626618,6.92049068185556
51,Low,1976.59090909091,20787975.0698772,252606147.38077,205,4.51583279114456,585,6.06623584296481,12.1515513912083
52,Low,979.681818181818,9451389.26974197,127288641.273105,143,2.87803085176632,528,5.84184023053274,13.4677175640847
54,Low,2374.9,9657531.07865195,202120153.571817,206,4.13939011600204,493,5.69199255717095,9.72293611534581
56,Low,1929.2,17929881.8058057,198039667.251929,138,3.99450315052381,433,5.39352037725449,20.9534981154507
57,Low,1202,4256458.54702641,98835190.5543756,118,3.3483543247892,262,4.09733459298669,23.2200524126853
59,Low,1574.31818181818,55024735.3271676,202918094.35112,96,3.64747168769075,402,5.1164991935483,3.68776138848472
64,Low,2606.5,10976238.1667502,369425527.649869,148,3.88916821889401,458,5.52694314061855,33.6568432679378
70,Low,1842.3,3785077.80055421,116658317.732298,118,3.86112714494455,452,5.48641219811163,30.8205864923614
72,High,1677.5,4071904.34638693,289742286.792733,114,3.63118432977793,457,5.56053296074343,71.1564570640827
77,Low,1304.3,2814787.38595605,113908431.177042,120,3.6267442621308,437,5.55377652529069,40.4678633083871
78,Low,1895.77272727273,8661899.70033023,151391194.964617,186,4.24369104611436,418,5.44023928031436,17.4778282134628
79,High,1348.5,6705083.48878574,118866781.019873,145,3.91549655660538,451,5.59903556682323,17.7278599466625
80,High,880,567333.630291667,140225643.45483,131,4.13781977557898,475,5.73624315067555,247.166104682952
81,High,1282.77272727273,6308944.24528753,103735511.737045,114,3.18816339995456,491,5.71199143465498,16.4426103170163
82,High,1454,6669145.75655618,119439600.741464,114,3.38218729333674,471,5.63102649163099,17.9092803038602
83,High,1512,5265945.08650452,271448435.18908,110,3.27024035633187,496,5.82460032295317,51.5479046457859
85,Low,1335.8,528410.8742305,114720583.896104,150,3.76810988535928,491,5.77700052879206,217.104888432068
88,Low,1194.09090909091,20276590.0459748,220876040.086361,159,4.06596143844506,NA,NA,10.8931550909473
89,Low,1409.2,10550875.7001209,130016298.442269,140,4.04135690106542,456,5.62065829726699,12.3227969068747
90,Low,1897,4520399.50129805,117988170.894643,150,3.89523361969173,455,5.60019250231872,26.1012706644097
91,Low,2796.8,7564636.06522803,237395704.210165,178,4.19684533918406,406,5.47012743959911,31.3823034132983
92,Low,3096.7,9378399.9568063,315091618.314011,171,3.72766278807146,510,5.75876378923762,33.5975880496902
96,High,275.863636363636,2467647.22112544,21478285.7603896,139,3.88423394197055,483,5.76172328637028,8.70395313256885
97,Low,806.7,NA,89607245.9276,103,2.73120007094048,313,4.8264794803652,
98,High,1126.3,768785.626208865,71119472.7413044,79,3.61498606830984,365,4.90664805963117,92.5088481323695
99,High,1441.04545454545,9322102.90473956,104014830.402859,131,3.52340725475327,440,5.53684648668762,11.1578719378839
